Pakiet,Kategoria,Materiał,Typ,Producent,Model,SKU,Cechy,Cena zakup,Cena detal brutto,Cena detal netto,Cena detal / m2,Link,Photo,50,m2
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,"Villeroy & Boch Loop & Friends umywalka 51x34,5 cm wpuszczana prostokątna Weiss Alpin 4A640001",,,,"1004,99","817,07","16,34","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-51x345-cm-wpuszczana-prostokatna-weiss-alpin-4a640001,625902,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,"Villeroy & Boch Loop & Friends umywalka 50,5x36 cm owalna wpuszczana biała 4A610001",,,,"984,85","800,69","16,01","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-505x36-cm-owalna-wpuszczana-biala-4a610001,696098,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,Villeroy & Boch Architectura umywalka 60x45 cm wpuszczana owalna Weiss Alpin 5A666001,,,,"977,99","795,11","15,90","https://www.lazienkaplus.pl/pl/villeroy-boch-architectura-umywalka-60x45-cm-wpuszczana-owalna-weiss-alpin-5a666001,606516,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,Villeroy & Boch Venticello umywalka 55x36 cm częściowo wpuszczana Weiss Alpin 41135501,,,,"1249,45","1015,81","20,32","https://www.lazienkaplus.pl/pl/villeroy-boch-venticello-umywalka-55x36-cm-czesciowo-wpuszczana-w-blat-weiss-alpin-41135501,478363,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,Villeroy & Boch Loop & Friends umywalka 45 cm wpuszczana biała 4A600101,,,,"979,00","795,93","15,92","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-45-cm-wpuszczana-biala-4a600101,614104,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka wpuszczana,Villeroy & Boch,"Villeroy & Boch Loop & Friends umywalka 48,5x32,5 cm owalna wpuszczana biała 4A5401R1",,,,"1473,99","1198,37","23,97","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-4a5401r1,685572,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Villeroy & Boch,Villeroy & Boch Loop&Friends umywalka 51x34 cm podblatowa prostokątna Weiss Alpin 4A560101,,,,"1003,86","816,15","16,32","https://www.lazienkaplus.pl/pl/villeroyboch-loopfriends-umywalka-51x34-cm-podblatowa-prostokatna-weiss-alpin-4a560101,594021,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Villeroy & Boch,Villeroy & Boch Loop & Friends umywalka 54x34 cm podblatowa prostokątna Weiss Alpin 4A570001,,,,"955,81","777,08","15,54","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-54x34-cm-podblatowa-prostokatna-weiss-alpin-4a570001,612516,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Villeroy & Boch,"Villeroy & Boch Loop & Friends umywalka 48,5x32,5 cm podblatowa owalna Weiss Alpin 4A540001",,,,"967,99","786,98","15,74","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-485x325-cm-podblatowa-owalna-weiss-alpin-4a540001,614312,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Villeroy & Boch,"Villeroy & Boch Architectura umywalka 57x37,5 cm podblatowa owalna CeramicPlus Weiss Alpin 5A7661R1",,,,"1228,88","999,09","19,98","https://www.lazienkaplus.pl/pl/villeroy-boch-architectura-umywalka-57x375-cm-podblatowa-owalna-ceramicplus-weiss-alpin-5a7661r1,606585,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Villeroy & Boch,Villeroy & Boch Loop & Friends umywalka 38 cm okrągła podblatowa CeramicPlus Weiss Alpin 4A5201R1,,,,"1296,52","1054,08","21,08","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-umywalka-38-cm-okragla-podblatowa-ceramicplus-weiss-alpin-4a5201r1,697909,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Hansgrohe,Hansgrohe Xuniva U umywalka 45x35 cm podblatowa SmartClean biały 61050450,,,,"934,05","759,39","15,19","https://www.lazienkaplus.pl/pl/hansgrohe-xuniva-u-umywalka-45x35-cm-podblatowa-smartclean-bialy-61050450,664000,81,i",,,
Lux,Sanitariat,Umywalki,Umywalka podblatowa,Omnires,Omnires Shell M+ umywalka 48x31 cm owalna podblatowa biały połysk SHELL480UPBP,,,,"689,00","560,16","11,20","https://www.lazienkaplus.pl/pl/omnires-shell-m-umywalka-48x31-cm-owalna-podblatowa-bialy-polysk-shell480upbp,713183,81,i",,,
Budget,Drzwi,Drzwi,Przylgowe,Porta,"CPL 1.1 - CPL HQ 0,2 gr. ","(Popielaty Euroinvest, Dąb Milano 5)",,,,"465,00","9,30",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Przylgowe,Porta,"CPL 1.1 - CPL HQ 0,2 gr. ",(pozostałe kolory),,,,"517,00","10,34",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Przylgowe,Porta,Verte Home (cała kolekcja (G.0)),"Portadecor, Portasynchro 3D",,,,"675,00","13,50",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Przylgowe,Porta,Verte Home (cała kolekcja (G.0)),"Laminat PP, Portaperfect 3D",,,,"780,00","15,60",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Ośczieżnica,Porta,"Ościeżnica Porta System 75- 95 (Portadecor, Portasynchro 3D)",,,,,"510,00","10,20",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Ośczieżnica,Porta,"Ościeżnica Porta System 340- 360 (Portadecor, Portasynchro 3D)",,,,,"765,00","15,30",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Ośczieżnica,Porta,"Ościeżnica Porta System 75- 95 (Portaperfect 3D, CPL HQ gr. I, Laminat PP)",,,,,"540,00","10,80",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,Drzwi,Ośczieżnica,Porta,"Ościeżnica Porta System 340- 360 (Portaperfect 3D, CPL HQ gr. I, Laminat PP)",,,,,"815,00","16,30",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
"Budget, Standard, Lux",Drzwi,Drzwi,Ośczieżnica,Porta,Podcięcie wentylacyjne,,,,,"39,00","0,78",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Cavo KVO B00 - czarna,,,,,"81,22","1,62",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Cavo KVO M 700 - chrom mat,,,,,"81,22","1,62",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Cavo KVO 800 - biała,,,,,"109,79","2,20",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Cavo KVO M G00 - złoty mat,,,,,"138,37","2,77",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,"Rozeta WC - B00, M700",,,,,"60,17","1,20",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WC  800,,,,,"103,03","2,06",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WC MG00,,,,,"62,33","1,25",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,"Rozeta WK / WB B00, M700",,,,,"41,82","0,84",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WK / WB 800,,,,,"77,54","1,55",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WK / WB MG00,,,,,"44,28","0,89",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ronda KRD O B00 - czarna,,,,,"113,84","2,28",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ronda KRD  O 700 - chrom,,,,,"113,84","2,28",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ronda KRD O 800 - biała,,,,,"170,99","3,42",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Budget,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ronda KRD O MG00 - złoty mat,,,,,"130,35","2,61",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,"Rozeta WC - B00, M700",,,,,"41,82","0,84",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WC  800,,,,,"103,03","2,06",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WC MG00,,,,,"62,33","1,25",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,"Rozeta WK / WB B00, M700",,,,,"60,17","1,20",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WK / WB 800,,,,,"77,54","1,55",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
"Budget, Standard",Drzwi,"Klamki, rozety",Rozety drzwi,Infinity,Rozeta WK / WB MG00,,,,,"44,28","0,89",https://klamki-online.pl/pl/p/KLAMKA-CAVO-FIT-KVO-B00-ROZETA-KWADRAT-CZARNY/806,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,DRE,"DRE Estra 5 - DRE Cell, DRE 3D",,,,,"912,00","18,24",https://dre.pl/wp-content/uploads/2025/09/Katalog-DRE-2025_3.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,DRE,DRE -Ość. Reg. Bezprzylgowa 75- 100,,,,,"842,00","16,84",https://dre.pl/wp-content/uploads/2025/09/Katalog-DRE-2025_3.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,DRE,DRE -Ość. Reg. Bezprzylgowa 300- 325,,,,,"1003,00","20,06",https://dre.pl/wp-content/uploads/2025/09/Katalog-DRE-2025_3.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,"Porta Verte Premium E (cała kolekcja) - Portadecor,
Portasynchro 3D",,,,,"971,00","19,42",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,"Porta Verte Premium E (cała kolekcja) - Laminat PP, Portaperfect 3D, Portalamino",,,,,"1071,00","21,42",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,"Porta Ościeżnica Elegance - 75- 95 - Portadecor,
Portasynchro 3D",,,,,"860,00","17,20",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,"Porta Ościeżnica Elegance - 340- 260 - Portadecor,
Portasynchro 3D",,,,,"1059,00","21,18",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,"Porta Ościeżnica Elegance - 75- 95 - Portalamino, Portaperfect 3D, Laminat PP",,,,,"925,00","18,50",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,"Porta Ościeżnica Elegance - 340- 260 - Portalamino, Portaperfect 3D, Laminat PP",,,,,"1145,00","22,90",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,Vector T Lakier UV Premium,,,,,"1055,00","21,10",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,Vector E Lakier UV Premium,,,,,"1120,00","22,40",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,Vector U Lakier UV Premium,,,,,"1120,00","22,40",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Bezprzylgowe,Porta,Vector V Lakier UV Premium,,,,,"1120,00","22,40",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,Porta Ościeżnica Elegance 75- 95 Okl. Lak. Prem.,,,,,"959,00","19,18",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,Drzwi,Ośczieżnica,Porta,Porta Ościeżnica Elegance 340- 360 Okl. Lak. Prem.,,,,,"1179,00","23,58",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
"Standard, Lux",Drzwi,Drzwi,Ukryte,Porta,Porta Hide 1.1 - Grunt (rewers i bezprzylga),,,,,"512,00","10,24",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
"Standard, Lux",Drzwi,Drzwi,Ośczieżnica,Porta,Ość. Porta Hide - Surowa,,,,,"864,00","17,28",https://www.porta.com.pl/phavi/at/upl/2025/0826/0826-katalog-porta-2025-2-pl-www-2.pdf,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Apollo FIT KAF B00- czarna,,,,,"129,34","2,59",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Apollo FIT KAF M 700 - chrom mat,,,,,"129,34","2,59",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Apollo FIT KAF 800 - biała,,,,,"186,49","3,73",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Apollo FIT KAF M G00 - złoty mat,,,,,"138,76","2,78",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Stinger KSR O B00 - czarna,,,,,"120,58","2,41",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Stinger KSR  M700 - chrom mat,,,,,"120,58","2,41",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Stinger KSR O 800 - biała,,,,,"177,73","3,55",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Stinger KSR O MG00 - złoty mat,,,,,"136,28","2,73",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S B00 - czarna,,,,,"173,00","3,46",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S M700 - chrom mat,,,,,"173,00","3,46",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S 800 - biała,,,,,"230,15","4,60",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S O B00 - czarna,,,,,"173,00","3,46",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S O M700 - chrom mat,,,,,"173,00","3,46",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Giulietta KGUL S O 800 - biała,,,,,"230,15","4,60",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ghost KGOS O B00,,,,,"243,58","4,87",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Standard,Drzwi,"Klamki, rozety",Klamki drzwi,Infinity,Infinity Ghost KGOS O MG00,,,,,"272,15","5,44",https://klamki-online.pl/pl/p/KLAMKA-APOLLO-FIT-KAF-B00-ROZETA-KWADRAT-CZARNY/666,,,
Lux,Drzwi,Drzwi,Ukryte,Eclisse,Eclisse Batente 45 - komplet w Gruncie + XPS,,,,,"2620,00","52,40",,,,
Lux,Drzwi,Drzwi,Ukryte,Eclisse,Eclisse Batente 45 - komplet w RAL 9003 + XPS,,,,,"3301,00","66,02",,,,
Lux,Drzwi,Drzwi,Ukryte,Eclisse,Eclisse Batente 45 - komplet w dwukolorze + XPS,,,,,"3528,00","70,56",,,,
Lux,Drzwi,Drzwi,Ukryte,Eclisse,"Eclisse Fusion 50 ""plus) - komplet w Gruncie",,,,,"2730,00","54,60",,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Cambio 00 - RAL 9003,,,,,"1179,00","23,58",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Cambio 00 - Mono 1 Mat,,,,,"1329,00","26,58",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Cambio 00 - Mono 2 Mat, Black Mat",,,,,"1429,00","28,58",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Subito 06 - RAL 9003,,,,,"1194,00","23,88",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Subito 06 - Mono 1 Mat,,,,,"1344,00","26,88",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Subito 06 - Mono 2 Mat, Black Mat",,,,,"1444,00","28,88",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V01 - RAL 9003,,,,,"1560,00","31,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V01 - Mono 1 Mat,,,,,"1710,00","34,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V01 - Mono 2 Mat, Black Mat",,,,,"1810,00","36,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V02 - RAL 9003,,,,,"1660,00","33,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V02 - Mono 1 Mat,,,,,"1810,00","36,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V02 - Mono 2 Mat, Black Mat",,,,,"1910,00","38,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V03 - RAL 9003,,,,,"1860,00","37,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,Pol-Skone Royale V03 - Mono 1 Mat,,,,,"2010,00","40,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V03 - Mono 2 Mat, Black Mat",,,,,"2110,00","42,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V04, V05 - RAL 9003",,,,,"1960,00","39,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V04, V05 - Mono 1 Mat",,,,,"2110,00","42,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Royale V04, V05 - Mono 2 Mat, Black Mat",,,,,"2210,00","44,20",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Princestone V08, V05, V02 - RAL 9003",,,,,"1738,00","34,76",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Princestone V08, V05, V02 - Mono 1 Mat",,,,,"1888,00","37,76",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Princestone V08, V05, V02 - Mono 2 Mat, Black Mat",,,,,"1988,00","39,76",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Modena 02, 05, 08 - RAL 9003",,,,,"1969,00","39,38",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Modena 02, 05, 08 - Mono 1 Mat",,,,,"2119,00","42,38",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Bezprzylgowe,Pol-Skone,"Pol-Skone Modena 02, 05, 08 - Mono 2 Mat, Black Mat",,,,,"2219,00","44,38",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Ośczieżnica,Pol-Skone,Ość. Reg. Bezprz. DIN DUO 95- 120 - RAL 9003,,,,,"1304,00","26,08",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Ośczieżnica,Pol-Skone,Ość. Reg. Bezprz. DIN DUO 280- 305 - RAL 9003,,,,,"1513,00","30,26",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Ośczieżnica,Pol-Skone,Ość. Reg. Bezprz. DIN DUO 95- 120 - Mono 1 Mat,,,,,"1377,00","27,54",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Ośczieżnica,Pol-Skone,Ość. Reg. Bezprz. DIN DUO 280- 305 - Mono 1 Mat,,,,,"1613,00","32,26",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
Lux,Drzwi,Drzwi,Ośczieżnica,Pol-Skone,"Ość. Reg. Bezprz. DIN DUO 95- 120 - Mono 2 Mat, Black Mat",,,,,"1477,00","29,54",https://www.pol-skone.pl/do-pobrania - katalog produktów 2005,,,
