Pakiet,Kategoria,Materiał,Typ,Producent,Model,SKU,Cechy,Cena zakup,Cena detal brutto,Cena detal netto,Cena detal / m2,Link,Photo,50,m2
"Standard, Lux",Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,VOX,Espumo Biała 201,,,,"18,71","15,21","10,14","https://bel-pol.pl/listwy-przypodlogowe/vox/listwa-espumo-201-esp201-biala-2,4-m-201-esp201-2.4,p18166,14.html",,,
"Standard, Lux",Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,VOX,Espumo Szara 203,,,,"24,96","20,29","13,53","https://bel-pol.pl/listwy-przypodlogowe/vox/listwa-espumo-203-esp203-szara-2,4-m-203-esp203-2.4,p18208,14.html",,,
"Standard, Lux",Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,VOX,Espumo Kaszmir 207,,,,"23,00","18,70","12,47","https://bel-pol.pl/listwy-przypodlogowe/vox/liswa-espumo-207-kaszmir-esp207-2,4-m-3031922,p25315,14.html",,,
"Standard, Lux",Listwy przypodłogowe,Listwy przypodłogowe,Styrodur,VOX,Espumo Czarna 206,,,,"24,96","20,29","13,53","https://bel-pol.pl/listwy-przypodlogowe/vox/listwa-espumo-206-czarna-2,4-m-206-esp206-2.4,p17644,14.html",,,
Budget,Sanitariat,Wanna / prysznic,Brodzik + kabina,Deante,"Zestaw Deante Funkia kabina prysznicowa 90 cm kwadratowa z brodzikiem Corner i syfonem czarny/szkło przezroczyste (KYCN41K, KTC041B, NHC025C)",,,,"1499,00","1218,70","24,37","https://www.lazienkaplus.pl/pl/zestaw-deante-funkia-kabina-prysznicowa-90-cm-kwadratowa-z-brodzikiem-corner-i-syfonem-kycn41k-ktc041b-nhc025c,575293,63,i/",,,
Budget,Sanitariat,Wanna / prysznic,Brodzik + kabina,Deante,"Zestaw Deante Funkia kabina prysznicowa 90 cm kwadratowa z brodzikiem Corner i syfonem chrom/szkło przezroczyste (KYC041K, KTC041B, NHC025C)
",,,,"1546,00","1256,91","25,14","https://www.lazienkaplus.pl/pl/zestaw-deante-funkia-kabina-prysznicowa-90-cm-kwadratowa-z-brodzikiem-corner-i-syfonem-kyc041k-ktc041b-nhc025c,575282,63,i/",,,
Budget,Sanitariat,Wanna / prysznic,Brodzik + kabina,Deante,"Zestaw Deante Funkia kabina prysznicowa 90 cm półokrągła z brodzikiem Standard New i syfonem czarny/szkło przezroczyste (KYPN51K, KTA053B, NHC025C)",,,,"1546,00","1256,91","25,14","https://www.lazienkaplus.pl/pl/zestaw-deante-funkia-kabina-prysznicowa-90-cm-polokragla-z-brodzikiem-standard-new-i-syfonem-kypn51k-kta053b-nhc025c,575321,63,i/",,,
Budget,Sanitariat,Wanna / prysznic,Wanna,Cersanit,"Cersanit Nao wanna prostokątna 170x70 cm biała S301-244",,,,"671,58","546,00","10,92","https://www.lazienkaplus.pl/pl/cersanit-nao-wanna-prostokatna-170x70-cm-biala-s301-244,505249,169,i/",,,
Budget,Sanitariat,Wanna / prysznic,Wanna,Cersanit,"Cersanit Nike wanna 170x70 cm prostokątna biała S301-249",,,,"691,92","562,54","11,25","https://www.lazienkaplus.pl/pl/cersanit-nike-wanna-170x70-cm-prostokatna-biala-s301-249,510224,169,i/",,,
Budget,Sanitariat,Wanna / prysznic,Wanna,Cersanit,"Cersanit Octavia wanna prostokątna 170x70 cm biała S301-253",,,,"696,18","566,00","11,32","https://www.lazienkaplus.pl/pl/cersanit-octavia-wanna-prostokatna-170x70-cm-biala-s301-253,502264,169,i/",,,
Budget,Sanitariat,Wanna / prysznic,Wanna,Cersanit,Cersanit Lana wanna prostokątna 170x70 cm biała S301-163,,,,"709,30","576,67","11,53","https://www.lazienkaplus.pl/pl/cersanit-lana-wanna-prostokatna-170x70-cm-s301-163,485592,169,i/",,,
Budget,Sanitariat,Wanna / prysznic,Syfon od wanny,Cersanit,"Cersanit syfon wannowy automatyczny chrom S904-004",,,,"119,00","96,75","1,93","https://www.lazienkaplus.pl/pl/cersanit-syfon-wannowy-automatyczny-chrom-s904-004,405482,55,i/",,,
"Standard, Lux",Sanitariat,Wanna / prysznic,Syfon od wanny,Oltens,Oltens Fusa syfon wannowy klik-klak chrom 03002100,,,,"219,95","178,82","3,58","https://www.lazienkaplus.pl/pl/oltens-fusa-syfon-wannowy-klik-klak-chrom-03002100,503645,128,i/",,,
+ Budget,Sanitariat,Wanna / prysznic,Parawan nawannowy,Omnires,Omnires Kenton parawan nawannowy szklany chrom/ transparentny MP75CRTR,,,,"462,42","375,95","7,52","https://www.lazienkaplus.pl/pl/omnires-kenton-parawan-nawannowy-szklany-chrom-transparentny-mp75crtr,475431,53,i/",,,
Standard,Sanitariat,Wanna / prysznic,Wanna,Roca,"Roca Savai wanna prostokątna 170x75 cm biała A248589000",,,,"1460,00","1186,99","23,74","https://www.lazienkaplus.pl/pl/roca-savai-wanna-prostokatna-170x75-cm-biala-a248589000,538925,169,i/",,,
Standard,Sanitariat,Wanna / prysznic,Wanna,Roca,"Roca Genova wanna prostokątna 170x75 cm biała A248383000",,,,"1199,99","975,60","19,51","https://www.lazienkaplus.pl/pl/roca-genova-wanna-prostokatna-170x75-cm-biala-a248383000,483111,169,i/",,,
Standard,Sanitariat,Wanna / prysznic,Wanna,Villeroy & Boch,Villeroy & Boch Targa Plus wanna prostokątna 170x75 cm Weiss Alpin UBA171NES2V-01,,,,"1299,99","1056,90","21,14","https://www.lazienkaplus.pl/pl/villeroy-boch-targa-plus-wanna-prostokatna-170x75-cm-weiss-alpin-uba171nes2v-01,624526,169,i/",,,
Standard,Sanitariat,Wanna / prysznic,Wanna,Oltens,Oltens Lykke wanna 170x75 cm prostokątna akrylowa biała 10013000,,,,"1299,95","1056,87","21,14","https://www.lazienkaplus.pl/pl/oltens-lykke-wanna-170x75-cm-prostokatna-akrylowa-biala-10013000,676382,169,i/",,,
Standard,Sanitariat,Wanna / prysznic,Brodzik prysznicowy,Roca,Roca Terran brodzik prostokątny 100x90 cm beżowy AP1013E838401650,"beżowy, biały, czarny, kawowy, onyks, perłowy",,,"1399,99","1138,20","22,76","https://www.lazienkaplus.pl/pl/roca-terran-brodzik-100x90-cm-prostokatny-kompozyt-stonex-bezowy-ap1013e838401650,614121,464,i/",,,
Standard,Sanitariat,Wanna / prysznic,Brodzik prysznicowy,Excellent,Excellent Lavano brodzik 100x90 cm prostokątny kompozyt,"biały, czarny, beton, cappucino",,,"1366,70","1111,14","22,22","https://www.lazienkaplus.pl/pl/excellent-lavano-brodzik-prostokatny-100x90-cm-bialy-brex1103100090whn,528689,464,i/",,,
Standard,Sanitariat,Wanna / prysznic,Brodzik prysznicowy,Radaway,Radaway Zantos C brodzik 90x90 cm kwadratowy biały M3ZNC9090-06,,,,"1072,81","872,20","17,44","https://www.lazienkaplus.pl/pl/radaway-zantos-c-brodzik-kwadratowy-90x90-cm-m3znc9090-06,487519,464,i/",,,
Standard,Sanitariat,Wanna / prysznic,Brodzik prysznicowy,Radaway,Radaway Kyntos C brodzik 90x90 cm kwadratowy konglomeratowy biały HKC9090-04,,,,"1383,29","1124,63","22,49","https://www.lazienkaplus.pl/pl/radaway-kyntos-c-brodzik-kwadratowy-90-cm-konglomeratowy-bialy-hkc9090-04,524412,464,i/",,,
Standard,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Omnires,"Omnires Marina Walk-in ścianka prysznicowa 100 cm typu chrom/szkło przezroczyste DNR10XCRTR
",,,,"1063,00","864,23","17,28","https://www.lazienkaplus.pl/pl/omnires-marina-scianka-prysznicowa-100-cm-typu-walk-in-dnr10xcrtr,501318,68,i/",,,
Standard,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Omnires,"Omnires Marina Walk-In ścianka prysznicowa 100 cm czarny mat/szkło przezroczyste DNR10XBLTR",,,,"1195,31","971,80","19,44","https://www.lazienkaplus.pl/pl/omnires-marina-walk-in-scianka-prysznicowa-100-cm-czarny-matszklo-przezroczyste-dnr10xbltr,512907,68,i/",,,
Standard,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Radaway,"Radaway Alienta Black C kabina prysznicowa 90x90 cm kwadratowa czarny mat/szkło przezroczyste 10239090-54-01",,,,"1407,61","1144,40","22,89","https://www.lazienkaplus.pl/pl/radaway-alienta-black-c-kabina-prysznicowa-90x90-cm-czarnyszklo-przezroczyste-10239090-54-01,670204,63,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Oltens,Oltens Lykke wanna 180x80 cm prostokątna akrylowa biała 10014000,,,,"1499,95","1219,47","24,39","https://www.lazienkaplus.pl/pl/oltens-lykke-wanna-180x80-cm-prostokatna-akrylowa-biala-10014000,676547,169,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Villeroy & Boch,Villeroy & Boch Loop & Friends wanna prostokątna 170x75 cm biała UBA170LSF2VRW,,,,"2661,59","2163,89","43,28","https://www.lazienkaplus.pl/pl/villeroy-boch-loop-friends-wanna-prostokatna-170x75-cm-biala-uba170lsf2vrw,710018,169,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Villeroy & Boch,Villeroy & Boch Avento Duo wanna prostokątna 170x70 cm Weiss Alpin UBA177AVN2V-01,,,,"2043,50","1661,38","33,23","https://www.lazienkaplus.pl/pl/villeroy-boch-avento-duo-wanna-prostokatna-170x70-weiss-alpin-uba177avn2v-01,510411,169,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Ravak,Ravak Formy 02 Slim wanna prostokątna 180x80 cm biała C891300000,,,,"2137,25","1737,60","34,75","https://www.lazienkaplus.pl/pl/ravak-formy-02-slim-wanna-prostokatna-180x80-cm-biala-c891300000,610411,169,i/",,,
Lux,Sanitariat,Wanna / prysznic,Parawan nawannowy,Omnires,Omnires Kingston parawan nawannowy 70 cm czarny mat/szkło przezroczyste XHE85BLTR,chrom / czarny,,,"612,50","497,97","9,96","https://www.lazienkaplus.pl/pl/omnires-kingston-parawan-nawannowy-70-cm-czarny-matszklo-przezroczyste-xhe85bltr,552557,53,i/",,,
Lux,Sanitariat,Wanna / prysznic,Odpływ liniowy,Excellent,Excellent Stilio odpływ liniowy 90 cm stal nierdzewna polerowana INEX.1515.900.P.SNP,,,,"762,35","619,80","12,40","https://www.lazienkaplus.pl/pl/excellent-stilio-odplyw-liniowy-90-cm-stal-nierdzewna-polerowana-inex1515900psnp,635821,71,i/",,,
Lux,Sanitariat,Wanna / prysznic,Odpływ liniowy,Excellent,"Excellent Stilio odpływ liniowy 90 cm stal nierdzewna polerowana INEX.1515.900.R.SNP",,,,"770,25","626,22","12,52","https://www.lazienkaplus.pl/pl/excellent-stilio-odplyw-liniowy-90-cm-zloty-inex1515900rsnp,618391,71,i/",,,
Lux,Sanitariat,Wanna / prysznic,Odpływ liniowy,Viega,Viega Advantix odpływ prysznicowy 120 cm 721671,,,,"1168,98","950,39","19,01","https://www.lazienkaplus.pl/pl/viega-advantix-odplyw-prysznicowy-120-cm-721671,486067,71,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Hagser,Hagser Clara wanna wolnostojąca 180x80 cm akrylowa owalna biały połysk HGR70000012,,,,"2599,00","2113,01","42,26","https://www.lazienkaplus.pl/pl/hagser-clara-wanna-wolnostojaca-180x80-cm-akrylowa-owalna-bialy-polysk-hgr70000012,530726,323,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Hagser,"Hagser Salma wanna wolnostojąca 171,5x74,5 cm owalna akrylowa biały połysk HGR19000012",,,,"2999,00","2438,21","48,76","https://www.lazienkaplus.pl/pl/hagser-salma-wanna-wolnostojaca-1715x745-cm-owalna-akrylowa-bialy-polysk-hgr19000012,538041,323,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Hagser,Hagser Elisa wanna wolnostojąca 170x80 cm akrylowa prostokątna biały połysk HGR20000012,,,,"1899,00","1543,90","30,88","https://www.lazienkaplus.pl/pl/hagser-elisa-wanna-wolnostojaca-170x80-cm-akrylowa-prostokatna-bialy-polysk-hgr20000012,530720,323,i/",,,
Lux,Sanitariat,Wanna / prysznic,Wanna,Hagser,Hagser Petra wanna wolnostojąca 172x82 cm akrylowa owalna biały połysk HGR60000012,,,,"1999,00","1625,20","32,50","https://www.lazienkaplus.pl/pl/hagser-petra-wanna-wolnostojaca-172x82-cm-akrylowa-owalna-bialy-polysk-hgr60000012,530725,323,i/",,,
Lux,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Radaway,"Radaway Modo New II ścianka prysznicowa walk-in 130 cm chrom połysk/szkło przezroczyste 389134-01-01","chrom / czarny. 100, 110, 120, 130 cm",,,"1845,00","1500,00","30,00","https://www.lazienkaplus.pl/pl/radaway-modo-new-ii-walk-in-scianka-130-cm-389134-01-01,489325,68,i/",,,
Lux,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Radaway,Radaway Essenza Pro Gold Walk-In ścianka prysznicowa 120 cm wolnostojąca złoty połysk/szkło przezroczyste 10103120-09-01,,,,"1868,39","1519,02","30,38","https://www.lazienkaplus.pl/pl/radaway-essenza-pro-gold-walk-in-scianka-prysznicowa-120-cm-wolnostojaca-zlotyszklo-przezroczyste-10103120-09-01,534490,68,i/",,,
Lux,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,Excellent,Excellent Fabrika Walk-In ścianka prysznicowa 120 cm czarny mat/szkło KAEX.4006.1200.LP,,,,"1674,80","1361,63","27,23","https://www.lazienkaplus.pl/pl/excellent-fabrika-scianka-prysznicowa-120-cm-walk-in-czarny-mat-kaex40061200lp,521052,68,i/",,,
Lux,Sanitariat,Wanna / prysznic,Ściana / kabina prysznicowa,,Radaway Modo SL Black II Walk-In ścianka prysznicowa 120 cm prawa wolnostojąca czarny mat/szkło przezroczyste 10319124-54-01R,,,,"1961,10","1594,39","31,89","https://www.lazienkaplus.pl/pl/radaway-modo-sl-black-ii-walk-in-scianka-prysznicowa-120-cm-prawa-wolnostojaca-czarny-matszklo-przezroczyste-10319124-54-01r,641951,68,i/",,,
